MS Zoning,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Fence,Sale Type,Sale Condition,SalePrice
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,1960,1960,Hip,BrkFace,Plywood,Stone,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,Unf,1080.0,Fa,Y,1656,1656,1,TA,7,Typ,2,Gd,Attchd,1960.0,Fin,2.0,528.0,TA,TA,P,None,WD ,Normal,215000
RH,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,1Fam,1Story,5,1961,1961,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,LwQ,882.0,TA,Y,896,896,1,TA,5,Typ,0,None,Attchd,1961.0,Unf,1.0,730.0,TA,TA,Y,MnPrv,WD ,Normal,105000
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,1958,1958,Hip,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1329.0,TA,Y,1329,1329,1,Gd,6,Typ,0,None,Attchd,1958.0,Unf,1.0,312.0,TA,TA,Y,None,WD ,Normal,172000
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,7,1968,1968,Hip,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,Unf,2110.0,Ex,Y,2110,2110,2,Ex,8,Typ,2,TA,Attchd,1968.0,Fin,2.0,522.0,TA,TA,Y,None,WD ,Normal,244000
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,5,1997,1998,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,928.0,Gd,Y,928,1629,2,TA,6,Typ,1,TA,Attchd,1997.0,Fin,2.0,482.0,TA,TA,Y,MnPrv,WD ,Normal,189900
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,1998,1998,Gable,VinylSd,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,926.0,Ex,Y,926,1604,2,Gd,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,470.0,TA,TA,Y,None,WD ,Normal,195500
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,8,2001,2001,Gable,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1338.0,Ex,Y,1338,1338,2,Gd,6,Typ,0,None,Attchd,2001.0,Fin,2.0,582.0,TA,TA,Y,None,WD ,Normal,213500
RL,Pave,None,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,8,1992,1992,Gable,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,1280.0,Ex,Y,1280,1280,2,Gd,5,Typ,0,None,Attchd,1992.0,RFn,2.0,506.0,TA,TA,Y,None,WD ,Normal,191500
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,8,1995,1996,Gable,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1595.0,Ex,Y,1616,1616,2,Gd,5,Typ,1,TA,Attchd,1995.0,RFn,2.0,608.0,TA,TA,Y,None,WD ,Normal,236500
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,7,1999,1999,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,994.0,Gd,Y,1028,1804,2,Gd,7,Typ,1,TA,Attchd,1999.0,Fin,2.0,442.0,TA,TA,Y,None,WD ,Normal,189000
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,1993,1994,Gable,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,763.0,Gd,Y,763,1655,2,TA,7,Typ,1,TA,Attchd,1993.0,Fin,2.0,440.0,TA,TA,Y,None,WD ,Normal,175900
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,1Story,6,1992,2007,Gable,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,1168.0,Ex,Y,1187,1187,2,TA,6,Typ,0,None,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,GdPrv,WD ,Normal,185000
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,1998,1998,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,789.0,Gd,Y,789,1465,2,TA,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,393.0,TA,TA,Y,None,WD ,Normal,180400
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,1Story,7,1990,1990,Gable,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,1300.0,Gd,Y,1341,1341,1,Gd,5,Typ,1,Po,Attchd,1990.0,Unf,2.0,506.0,TA,TA,Y,None,WD ,Normal,171500
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,TwnhsE,1Story,8,1985,1985,Gable,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,BLQ,1488.0,TA,Y,1502,1502,1,Gd,4,Typ,0,None,Attchd,1985.0,RFn,2.0,528.0,TA,TA,Y,None,WD ,Normal,212000
RL,Pave,None,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,1Fam,2Story,8,2003,2003,Hip,CemntBd,Wd Shng,BrkFace,603.0,Ex,TA,PConc,Gd,TA,Gd,ALQ,Unf,1650.0,Ex,Y,1690,3279,3,Ex,12,Mod,1,Gd,BuiltIn,2003.0,Fin,3.0,841.0,TA,TA,Y,None,WD ,Normal,538000
RL,Pave,None,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,1Fam,1.5Fin,8,1988,2005,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,Wood,Gd,TA,Av,GLQ,Unf,559.0,Gd,Y,1080,1752,2,TA,8,Typ,0,None,Basment,1988.0,RFn,2.0,492.0,TA,TA,Y,None,WD ,Normal,164000
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,1Fam,1Story,9,2010,2010,Hip,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,1856.0,Ex,Y,1856,1856,1,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,3.0,834.0,TA,TA,Y,None,New,Partial,394432
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,1Story,4,1951,1951,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,864.0,Ex,Y,864,864,1,TA,4,Typ,0,None,Detchd,1951.0,Unf,2.0,400.0,TA,TA,Y,None,WD ,Normal,141000
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1Fam,1Story,6,1978,1988,Gable,Plywood,Plywood,Stone,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,Rec,1542.0,TA,Y,2073,2073,2,TA,7,Min1,2,TA,Attchd,1978.0,Unf,2.0,500.0,TA,TA,Y,MnPrv,WD ,Normal,210000
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1Fam,1Story,6,1977,1977,Hip,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,1844.0,Ex,Y,1844,1844,2,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,MnPrv,COD,Normal,190000
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1Fam,SFoyer,7,1974,1974,Gable,Plywood,Plywood,BrkFace,81.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,LwQ,1053.0,TA,Y,1173,1173,2,Gd,6,Typ,2,TA,Attchd,1974.0,RFn,2.0,528.0,TA,TA,Y,MnPrv,WD ,Family,170000
FV,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,2Story,7,2000,2000,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,814.0,Ex,Y,814,1674,2,Gd,7,Typ,0,None,Attchd,2000.0,RFn,2.0,663.0,TA,TA,Y,None,WD ,Normal,216000
RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1004.0,Ex,Y,1004,1004,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,None,WD ,Normal,149000
RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,1971,2008,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,Unf,1078.0,Ex,Y,1078,1078,1,TA,6,Typ,1,Fa,Attchd,1971.0,Fin,2.0,500.0,TA,TA,Y,None,WD ,Normal,149900
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,1968,1968,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1056.0,Ex,Y,1056,1056,1,TA,6,Typ,1,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,TA,Y,None,WD ,Normal,142000
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,4,1970,1970,Gable,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Rec,882.0,TA,Y,882,882,1,TA,4,Typ,0,None,Attchd,1970.0,Fin,2.0,525.0,TA,TA,Y,MnPrv,WD ,Normal,126000
RL,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,1Fam,1Story,4,1971,1971,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,864.0,TA,Y,864,864,1,TA,5,Typ,1,Po,None,1979.0,None,0.0,0.0,None,None,Y,None,ConLI,Normal,115000
RH,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,TwnhsE,1Story,7,1999,1999,Gable,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,BLQ,1405.0,Ex,Y,1337,1337,2,Gd,5,Typ,1,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,None,WD ,Normal,184000
